DOY,X-m,Y-m,Z-m,SDx,SDy,SDz,E-m,N-m,H-m,
263,-938078.1613,5968373.9116,2038404.2838,0.0021,0.0046,0.0018,492872.6767,2074370.7345,308.8666,237.0000
264,-938078.1676,5968373.9218,2038404.2894,0.0020,0.0047,0.0019,492872.6814,2074370.7362,308.8789,238.0000
265,-938078.1666,5968373.9215,2038404.2869,0.0020,0.0047,0.0019,492872.6804,2074370.7339,308.8777,239.0000
266,-938078.1683,5968373.9093,2038404.2857,0.0021,0.0048,0.0019,492872.6840,2074370.7366,308.8662,240.0000
267,-938078.1664,5968373.9123,2038404.2842,0.0020,0.0044,0.0017,492872.6817,2074370.7343,308.8682,241.0000
268,-938078.1677,5968373.9068,2038404.2897,0.0020,0.0045,0.0018,492872.6837,2074370.7412,308.8650,242.0000
269,-938078.1603,5968373.9003,2038404.2868,0.0021,0.0046,0.0018,492872.6775,2074370.7409,308.8569,243.0000
270,-938078.1662,5968373.9116,2038404.2884,0.0022,0.0049,0.0019,492872.6816,2074370.7386,308.8689,244.0000
271,-938078.1539,5968373.9020,2038404.2909,0.0021,0.0049,0.0019,492872.6709,2074370.7446,308.8589,245.0000
272,-938078.1530,5968373.9199,2038404.2939,0.0020,0.0045,0.0017,492872.6672,2074370.7418,308.8764,246.0000
273,-938078.1606,5968373.9187,2038404.2912,0.0023,0.0050,0.0019,492872.6749,2074370.7392,308.8755,247.0000
274,-938078.1566,5968373.9096,2038404.2828,0.0022,0.0048,0.0019,492872.6724,2074370.7343,308.8638,248.0000
275,-938078.1520,5968373.9030,2038404.2847,0.0021,0.0046,0.0018,492872.6688,2074370.7385,308.8576,249.0000
276,-938078.1603,5968373.9052,2038404.2807,0.0022,0.0047,0.0018,492872.6768,2074370.7336,308.8595,250.0000
277,-938078.1605,5968373.9101,2038404.2871,0.0022,0.0048,0.0019,492872.6762,2074370.7380,308.8662,251.0000
278,-938078.1560,5968373.9104,2038404.2884,0.0021,0.0045,0.0018,492872.6717,2074370.7394,308.8662,252.0000
279,-938078.1543,5968373.9019,2038404.2846,0.0021,0.0045,0.0017,492872.6713,2074370.7386,308.8568,253.0000
280,-938078.1636,5968373.9003,2038404.2840,0.0022,0.0047,0.0018,492872.6808,2074370.7381,308.8565,254.0000
281,-938078.1571,5968373.9052,2038404.2835,0.0024,0.0047,0.0019,492872.6736,2074370.7364,308.8600,255.0000
288,-938078.1697,5968373.9277,2038404.2927,0.0021,0.0046,0.0017,492872.6825,2074370.7373,308.8859,256.0000
